date,open,high,low,close,volume
2025/2/21,3938.052,3981.048,3927.787,3978.444,2274003.3
2025/2/24,3972.483,3995.946,3949.231,3969.717,2208106.18
2025/2/25,3933.636,3955.434,3915.653,3925.651,1781085.8
2025/2/26,3931.842,3960.33,3925.366,3959.941,1910625.01
2025/2/27,3961.064,3973.932,3933.461,3968.116,2028879.63
2025/2/28,3950.187,3972.481,3886.399,3890.049,1981041.47
2025/3/3,3899.696,3930.005,3872.587,3888.474,1776231.66
2025/3/4,3865.994,3890.424,3855.725,3885.221,1498509.67
2025/3/5,3887.799,3906.421,3877.019,3902.571,1586527.51
2025/3/6,3923.383,3964.494,3917.083,3956.237,1939609.15
2025/3/7,3944.915,3967.074,3935.046,3944.014,1667323.75
2025/3/10,3945.58,3949.145,3905.127,3928.802,1527652.32
2025/3/11,3890.431,3941.416,3889.43,3941.416,1447544.02
2025/3/12,3946.862,3953.613,3921.474,3927.232,1567321.9
2025/3/13,3925.744,3939.285,3897.376,3911.579,1565364.43
2025/3/14,3919.616,4014.159,3919.616,4006.557,2161390.03
2025/3/17,4020.64,4021.728,3992.256,3996.788,1622029.11
2025/3/18,4011.779,4016.873,3995.96,4007.723,1402084.96
2025/3/19,4004.825,4025.299,3989.512,4010.168,1444194.28
2025/3/20,4011.059,4012.042,3969.926,3974.992,1337546.7
2025/3/21,3966.515,3983.148,3904.767,3914.696,1659052.94
2025/3/24,3916.114,3938.183,3907.2,3934.849,1522346.74
2025/3/25,3937.898,3946.357,3921.529,3932.295,1404753.99
2025/3/26,3930.207,3942.026,3916.861,3919.357,1311641.87
2025/3/27,3911.384,3952.985,3903.652,3932.412,1267937.38
2025/3/28,3930.776,3934.234,3907.384,3915.166,1263562.14
2025/3/31,3905.982,3928.448,3872.403,3887.306,1667985.23
2025/4/1,3892.779,3905.262,3882.405,3887.684,1403802.74
2025/4/2,3884.418,3900.495,3877.16,3884.386,1130431.75
2025/4/3,3843.418,3883.703,3843.418,3861.503,1425997.89
2025/4/7,3675.202,3707.777,3514.117,3589.441,3125785.86
2025/4/8,3597.986,3650.759,3583.875,3650.759,2801973.12
2025/4/9,3606.104,3686.794,3587.337,3686.794,2623057.08
2025/4/10,3749.126,3756.139,3708.819,3735.115,2272522.27
2025/4/11,3730.315,3762.365,3708.462,3750.517,1687596.91
2025/4/14,3772.041,3776.634,3754.033,3759.142,1644624.03
2025/4/15,3756.479,3764.486,3737.85,3761.235,1340060.4
2025/4/16,3757.876,3775.166,3721.603,3772.82,1563590.06
2025/4/17,3755.086,3779.125,3749.504,3772.222,1223710.02
2025/4/18,3760.043,3782.044,3754.407,3772.523,1029485.09
2025/4/21,3768.142,3790.178,3763.138,3784.881,1213557.3
2025/4/22,3780.112,3799.23,3778.079,3783.952,1256882.57
2025/4/23,3803.43,3807.954,3780.518,3786.882,1319868.7
2025/4/24,3787.459,3807.26,3775.207,3784.357,1171645.6
2025/4/25,3792.084,3801.577,3780.777,3786.994,1245911.33
2025/4/28,3786.387,3792.008,3772.803,3781.619,1251450.91
2025/4/29,3776.003,3785.316,3768.031,3775.077,1115146.94
2025/4/30,3775.831,3787.564,3768.757,3770.571,1436816.58
2025/5/6,3794.376,3809.094,3782.777,3808.542,1585204.59
2025/5/7,3861.577,3863.678,3814.987,3831.627,1611722.99
2025/5/8,3820.548,3867.331,3816.264,3852.896,1249598.33
2025/5/9,3848.619,3853.663,3836.535,3846.157,1193895.26
2025/5/12,3866.531,3890.734,3859.035,3890.61,1533324.6
2025/5/13,3915.592,3915.592,3890.686,3896.258,1473202.99
2025/5/14,3894.839,3960.523,3890.65,3943.211,1720337.79
2025/5/15,3934.027,3936.465,3904.907,3907.199,1380817.49
2025/5/16,3898.666,3903.853,3874.862,3889.085,1184053.45
2025/5/19,3882.568,3885.589,3866.57,3877.145,986434.14
2025/5/20,3883.102,3911.474,3881.744,3898.171,1048852.34
2025/5/21,3899.437,3928.634,3899.437,3916.381,1097913.43
2025/5/22,3912.601,3923.02,3903.09,3913.865,1075970.52
2025/5/23,3910.374,3931.551,3882.274,3882.274,1202774.19
2025/5/26,3875.789,3884.537,3849.038,3860.107,1096012.07
2025/5/27,3857.627,3865.429,3834.846,3839.397,985724.25
2025/5/28,3843.075,3849.736,3833.958,3836.237,890310.26
2025/5/29,3838.009,3869.791,3831.458,3858.7,1084718.86
2025/5/30,3850.493,3858.613,3829.254,3840.232,1116722.28
2025/6/3,3833.458,3863.295,3832.72,3852.013,1314030.9
2025/6/4,3855.488,3875.857,3855.488,3868.743,1168038.73
2025/6/5,3872.637,3883.135,3861.272,3877.556,1228781.84
2025/6/6,3878.103,3889.456,3869.387,3873.984,1109879.71
2025/6/9,3877.798,3894.652,3871.992,3885.246,1363062.93
2025/6/10,3887.551,3897.457,3850.466,3865.465,1455638.59
2025/6/11,3870.672,3911.611,3870.672,3894.625,1424147.72
2025/6/12,3885.52,3900.041,3870.384,3892.199,1339986.97
2025/6/13,3881.492,3889.16,3853.819,3864.182,1725395.36
2025/6/16,3853.619,3876.17,3853.619,3873.795,1373418.35
2025/6/17,3875.177,3880.416,3860.409,3870.379,1223425.26
2025/6/18,3871.65,3881.346,3854.658,3874.971,1275286.21
2025/6/19,3870.049,3872.943,3834.951,3843.091,1302806.58
2025/6/20,3839.783,3856.48,3839.783,3846.644,1181510.2
2025/6/23,3831.17,3867.59,3827.083,3857.902,1338008.92
2025/6/24,3862.388,3914.158,3862.388,3904.034,1636561.88
2025/6/25,3907.068,3963.037,3902.177,3960.066,1872136.71
2025/6/26,3953.16,3964.482,3945.259,3946.02,1653162.63
2025/6/27,3949.788,3969.263,3918.204,3921.758,1945579.13
2025/6/30,3920.315,3940.361,3911.604,3936.079,1451702.36
2025/7/1,3935.908,3946.245,3924.722,3942.762,1289593.62
2025/7/2,3943.323,3952.138,3929.696,3943.685,1470630.62
2025/7/3,3949.4,3971.616,3945.138,3968.068,1410040.06
2025/7/4,3967.464,4013.848,3958.376,3982.203,1571971.33
2025/7/7,3977.288,3979.748,3956.566,3965.175,1311352.73
2025/7/8,3965.426,4002.269,3965.426,3998.453,1564028.95
2025/7/9,3997.504,4016.743,3987.427,3991.401,1732937.96
2025/7/10,3993.42,4032.983,3992.524,4010.024,2097789.04
2025/7/11,4011.465,4065.942,4010.105,4014.807,2620527.73
2025/7/14,4021.214,4034.92,4017.668,4017.668,2079171.75
2025/7/15,4023.99,4042.657,3994.263,4019.064,1910429.31
2025/7/16,4019.393,4027.857,3993.921,4007.202,1510273.08
2025/7/17,4005.067,4034.594,4005.067,4034.491,1612490.41
2025/7/18,4039.871,4064.638,4039.318,4058.549,1862110.63
2025/7/21,4069.769,4086.117,4063.443,4085.607,2232684.76
2025/7/22,4087.335,4119.202,4068.338,4118.958,2575969.85
2025/7/23,4129.148,4155.678,4113.909,4119.769,3005061.54
2025/7/24,4116.831,4152.427,4111.885,4149.037,3196323.92
2025/7/25,4145.32,4150.499,4117.801,4127.163,2735949.63
2025/7/28,4128.199,4146.12,4112.968,4135.824,2227598.15
2025/7/29,4132.683,4153.331,4117.577,4152.025,2308078.8
2025/7/30,4148.941,4185.206,4127.43,4151.238,2498530.48
2025/7/31,4141.561,4141.824,4063.666,4075.591,2670874.06
